Node_ID,Users,Traffic_Load_Mbps,CQI,SNR_dB,Latency_Req_ms,Available_Channels,Power_mW,Edge_CPU%,Action_Channel,Action_Power,Action_Routing,Offloading,Throughput_Mbps,Latency_ms,Energy_mJ,Reward_Score
262,16,87.37,13,24.24,10,9,136,55,Ch1,294,Path_A,0,18.6,34.88,131.21,0.207
263,9,59.97,9,14.95,5,8,100,59,Ch6,105,Path_C,1,14.31,33.62,111.3,0.124
264,41,46.67,13,25.69,30,7,131,43,Ch7,61,Path_A,0,13.33,42.43,125.16,0.057
265,36,73.9,2,9.27,50,3,203,67,Ch10,273,Path_D,0,1.0,57.3,197.31,-0.312
266,13,51.23,2,5.76,5,2,233,82,Ch5,269,Path_C,0,4.88,51.32,223.78,-0.207
267,45,87.98,12,10.11,50,7,277,88,Ch10,104,Path_D,1,5.11,37.93,262.67,-0.152
268,39,90.57,13,13.51,10,5,241,72,Ch8,205,Path_D,1,5.62,38.76,234.67,-0.135
269,23,45.06,15,17.76,10,6,57,73,Ch9,159,Path_A,0,16.15,35.35,76.84,0.169
270,20,31.3,12,20.38,5,4,258,61,Ch4,266,Path_D,0,15.63,36.14,232.01,0.101
271,7,61.27,7,27.77,50,2,272,64,Ch7,53,Path_A,0,20.48,38.2,249.34,0.193
272,24,91.67,12,17.75,10,9,214,33,Ch8,267,Path_D,1,13.7,32.73,183.84,0.09
273,28,25.01,10,17.53,30,3,286,48,Ch6,85,Path_B,0,10.32,43.04,248.37,-0.055
274,37,64.18,4,6.26,20,7,170,25,Ch2,227,Path_C,1,1.02,53.97,149.03,-0.279
275,28,65.0,10,5.87,20,8,274,26,Ch7,180,Path_A,0,5.58,44.21,224.67,-0.158
276,15,74.65,8,18.78,10,2,204,56,Ch9,50,Path_A,1,11.29,34.79,186.16,0.026
277,12,17.5,9,15.95,50,6,222,72,Ch5,66,Path_C,1,15.08,34.07,223.87,0.101
278,40,73.0,7,25.98,10,8,53,37,Ch2,248,Path_A,1,10.98,46.42,63.2,0.007
279,42,91.36,5,9.02,50,7,135,57,Ch4,111,Path_C,0,1.0,55.48,132.77,-0.281
280,44,22.07,8,5.62,30,3,177,78,Ch3,97,Path_B,1,1.0,44.23,182.69,-0.246
281,24,27.57,4,16.23,50,1,267,20,Ch4,111,Path_D,0,4.37,51.0,226.44,-0.217
282,39,97.28,2,10.94,10,6,273,87,Ch10,118,Path_B,1,1.0,52.62,266.87,-0.314
283,29,22.19,11,6.24,30,8,265,63,Ch7,196,Path_D,0,6.13,40.54,242.86,-0.135
284,39,86.17,15,23.11,5,6,159,66,Ch10,152,Path_C,1,15.37,34.59,165.08,0.125
285,29,51.77,12,7.79,20,5,148,54,Ch8,159,Path_B,1,10.24,36.86,135.21,0.01
286,33,28.49,6,20.21,10,8,86,79,Ch1,211,Path_D,0,8.74,52.16,103.02,-0.083
287,22,87.72,9,12.03,10,2,273,71,Ch8,276,Path_C,0,10.52,43.96,254.72,-0.057
288,22,47.3,1,9.34,10,1,120,27,Ch5,226,Path_D,1,1.09,49.35,111.15,-0.243
289,6,53.91,11,14.49,30,1,82,99,Ch7,257,Path_A,1,16.96,31.37,110.54,0.194
290,39,39.13,10,25.04,5,4,80,60,Ch1,281,Path_A,0,13.52,47.16,95.3,0.049
291,20,61.33,12,14.8,50,6,232,22,Ch2,291,Path_C,1,13.03,33.2,193.48,0.07
292,45,20.53,7,23.77,5,9,174,88,Ch1,224,Path_D,1,8.46,47.08,181.82,-0.093
293,40,42.15,10,8.14,30,1,61,33,Ch5,280,Path_A,0,2.16,46.25,70.42,-0.191
294,37,97.09,9,24.32,10,1,60,45,Ch6,140,Path_B,0,12.97,47.71,75.04,0.041
295,8,29.52,10,10.92,20,5,137,89,Ch10,282,Path_D,0,11.78,41.06,149.11,0.02
296,37,67.39,9,21.93,10,5,121,77,Ch9,279,Path_D,1,9.76,43.05,130.01,-0.027
297,18,35.89,10,19.14,50,5,81,59,Ch8,163,Path_A,1,16.18,34.48,92.24,0.169
298,25,78.48,11,28.23,20,6,106,70,Ch7,227,Path_A,1,15.41,34.75,119.67,0.141
299,24,17.43,13,14.68,10,8,215,24,Ch5,138,Path_C,0,12.1,36.96,180.71,0.036
300,12,97.13,3,6.65,20,3,237,96,Ch3,203,Path_D,1,5.38,47.37,242.8,-0.184
301,11,48.11,11,5.48,5,9,135,51,Ch9,105,Path_B,0,9.97,36.2,135.24,0.007
302,7,27.42,13,25.67,30,1,275,99,Ch5,127,Path_A,0,21.74,33.96,271.53,0.233
303,21,11.98,5,18.12,10,4,68,20,Ch3,63,Path_D,1,9.36,43.24,58.07,-0.012
304,37,21.13,8,24.38,50,9,165,96,Ch3,255,Path_A,0,11.55,49.49,185.84,-0.037
305,16,54.38,8,10.86,5,8,261,73,Ch3,74,Path_C,1,5.6,38.99,231.2,-0.136
306,26,37.02,4,13.63,10,9,233,30,Ch6,277,Path_D,0,4.12,50.94,205.57,-0.216
307,26,83.74,15,5.75,5,1,63,72,Ch1,181,Path_D,0,12.91,34.34,91.07,0.097
308,34,45.93,15,29.04,50,9,82,27,Ch4,288,Path_C,0,18.4,40.19,76.94,0.197
309,42,28.63,12,21.7,10,3,59,44,Ch8,256,Path_B,1,11.41,41.08,75.56,0.037
310,42,63.63,11,28.33,50,9,129,59,Ch3,81,Path_A,0,13.48,47.29,132.38,0.035
311,49,72.14,11,11.64,20,1,241,51,Ch5,131,Path_C,1,4.65,44.38,218.61,-0.178
312,12,20.87,1,20.29,50,1,113,47,Ch2,127,Path_D,0,7.38,52.79,115.6,-0.121
313,31,20.92,1,21.96,20,9,239,97,Ch2,299,Path_C,0,6.55,60.83,255.63,-0.224
314,31,8.48,15,12.94,10,6,117,22,Ch7,242,Path_D,0,12.66,36.87,111.32,0.073
315,38,74.96,4,26.2,20,4,268,98,Ch10,155,Path_C,1,10.25,51.27,266.91,-0.101
316,25,68.06,6,28.68,10,7,141,81,Ch3,238,Path_B,1,12.04,41.32,148.74,0.025
317,34,50.09,8,27.12,10,5,174,46,Ch5,69,Path_D,1,12.48,41.96,162.92,0.027
318,37,85.2,6,23.48,30,7,220,64,Ch3,123,Path_C,1,8.69,45.3,203.93,-0.087
319,32,81.54,12,11.94,10,8,129,44,Ch6,59,Path_B,1,10.08,38.51,129.31,0.001
320,37,60.61,9,12.04,20,8,108,80,Ch10,172,Path_B,0,4.23,43.77,127.1,-0.153
321,9,87.49,15,29.08,30,1,229,63,Ch3,265,Path_A,0,26.57,29.6,209.08,0.383
322,23,24.55,15,5.26,30,8,146,65,Ch8,83,Path_D,1,12.4,24.91,149.71,0.109
323,8,15.63,9,22.9,10,6,289,33,Ch2,238,Path_A,1,15.07,32.65,243.45,0.101
324,39,30.63,14,22.66,50,4,68,27,Ch3,269,Path_B,1,13.75,34.96,68.66,0.12
325,21,10.42,2,20.57,50,8,198,67,Ch8,204,Path_A,1,6.62,50.38,187.6,-0.151
326,48,55.46,10,29.75,30,3,71,33,Ch8,89,Path_A,0,18.54,49.99,73.44,0.155
327,32,93.98,1,12.8,10,4,58,84,Ch1,242,Path_C,1,1.0,51.85,92.15,-0.25
328,34,8.74,2,13.5,50,6,58,99,Ch8,176,Path_A,1,4.91,53.8,95.63,-0.174
329,33,16.6,5,6.97,10,7,250,26,Ch10,82,Path_B,1,1.0,47.43,211.05,-0.271
330,10,47.96,4,16.07,10,4,76,98,Ch2,245,Path_A,1,7.26,42.06,110.82,-0.072
331,39,93.72,4,11.53,30,4,66,68,Ch7,120,Path_D,0,1.0,53.9,90.29,-0.259
332,45,35.03,9,13.58,30,7,221,74,Ch6,186,Path_C,0,3.3,48.51,208.26,-0.223
333,41,53.19,11,25.86,5,6,298,32,Ch2,193,Path_B,1,12.99,39.56,255.7,0.018
334,28,8.95,8,28.39,50,8,94,92,Ch5,182,Path_A,0,13.58,46.47,127.79,0.043
335,33,19.09,6,9.64,50,1,57,75,Ch7,147,Path_D,0,1.38,51.02,85.97,-0.236
336,35,98.73,1,14.31,50,7,257,75,Ch8,173,Path_B,1,3.27,56.32,243.39,-0.272
337,39,96.69,2,28.22,20,7,195,34,Ch3,200,Path_A,1,10.36,54.28,176.2,-0.082
338,37,5.47,6,6.55,10,7,174,76,Ch1,92,Path_C,0,2.57,48.04,179.46,-0.228
339,25,95.42,11,7.31,30,7,172,77,Ch7,163,Path_A,0,8.5,41.39,179.87,-0.065
340,36,65.72,2,9.07,50,8,82,54,Ch5,138,Path_B,0,1.0,55.62,82.48,-0.265
341,27,87.45,15,19.88,5,9,50,35,Ch5,234,Path_B,0,15.55,34.15,49.73,0.17
342,37,48.2,13,8.76,50,9,253,27,Ch7,228,Path_B,0,5.47,40.38,220.92,-0.141
343,7,53.98,10,29.2,10,2,55,64,Ch1,62,Path_D,1,21.93,31.1,68.47,0.32
344,22,51.44,5,16.17,10,7,90,59,Ch8,177,Path_A,0,5.34,47.04,103.51,-0.135
345,29,68.35,14,17.54,30,7,232,73,Ch10,201,Path_A,0,12.18,38.01,220.34,0.019
346,46,18.27,5,11.17,20,4,54,33,Ch5,188,Path_A,0,2.69,54.18,54.72,-0.211
347,35,7.85,6,16.77,30,9,236,78,Ch8,101,Path_C,0,9.99,52.04,229.55,-0.098
348,7,34.25,6,21.55,50,8,129,72,Ch10,292,Path_D,0,14.96,46.46,140.21,0.069
349,44,71.94,14,23.78,5,1,67,46,Ch10,66,Path_D,0,16.5,40.21,87.15,0.151
350,28,24.18,6,23.85,30,2,226,66,Ch5,214,Path_C,0,10.63,48.97,210.68,-0.063
351,36,68.98,14,19.45,20,2,131,99,Ch7,62,Path_D,0,11.05,36.01,161.5,0.023
352,26,97.14,2,27.61,30,8,114,25,Ch10,239,Path_C,1,11.43,49.35,105.46,-0.011
353,27,13.92,14,25.44,10,1,132,74,Ch3,268,Path_B,1,19.66,33.06,139.29,0.237
354,6,68.9,10,23.93,50,4,231,63,Ch2,133,Path_B,0,18.91,37.88,220.3,0.17
355,31,47.16,14,6.39,50,5,238,37,Ch6,146,Path_D,1,7.71,33.42,211.73,-0.056
356,46,87.47,13,5.17,50,9,185,35,Ch5,155,Path_B,1,5.71,40.63,165.68,-0.119
357,6,21.83,15,10.31,50,7,180,31,Ch9,145,Path_B,1,13.98,28.12,160.83,0.126
358,30,70.8,14,21.59,50,8,299,39,Ch10,57,Path_B,1,14.45,35.57,255.72,0.069
359,21,84.62,3,15.28,50,9,74,64,Ch4,105,Path_A,1,3.82,46.02,87.07,-0.159
360,44,94.74,14,15.06,5,7,299,83,Ch3,270,Path_B,1,10.1,35.02,284.5,-0.035
361,37,69.91,6,27.11,20,5,118,78,Ch9,153,Path_A,0,8.78,51.49,132.28,-0.089
362,13,52.23,13,27.39,50,5,232,41,Ch8,132,Path_C,0,20.13,32.98,205.7,0.225
363,47,63.7,8,27.73,20,6,217,66,Ch6,247,Path_C,1,9.45,47.78,208.0,-0.083
364,43,87.55,12,12.85,50,5,260,48,Ch1,93,Path_C,0,6.9,43.13,233.33,-0.127
365,33,59.21,13,22.28,30,9,131,64,Ch10,237,Path_C,1,11.97,35.29,129.65,0.058
366,46,7.89,11,11.79,50,3,227,96,Ch1,152,Path_C,0,5.67,48.56,236.03,-0.18
367,30,93.44,12,9.77,10,3,166,28,Ch6,161,Path_B,0,10.98,40.85,147.41,0.004
368,39,70.51,1,9.62,5,7,144,43,Ch3,218,Path_B,0,1.0,58.78,135.69,-0.298
369,29,69.27,1,13.55,30,7,82,34,Ch3,198,Path_B,1,4.86,53.96,84.75,-0.172
370,28,25.49,11,15.75,30,6,160,55,Ch6,298,Path_C,0,13.74,39.08,156.68,0.071
371,17,67.59,13,25.77,10,3,195,32,Ch3,263,Path_C,0,21.44,35.11,175.84,0.254
372,11,42.42,2,8.0,50,7,174,63,Ch10,91,Path_A,1,3.55,45.24,173.39,-0.191
373,40,66.87,11,23.37,5,5,234,90,Ch6,251,Path_D,1,12.53,40.52,235.79,0.01
374,49,15.13,15,18.29,30,7,280,91,Ch5,251,Path_B,0,12.87,42.47,276.25,-0.005
375,24,67.5,12,12.2,5,2,65,97,Ch4,293,Path_D,1,10.12,35.12,104.92,0.026
376,5,99.94,12,17.32,30,6,129,95,Ch8,206,Path_C,0,13.49,33.45,149.9,0.094
377,12,9.58,6,12.5,50,8,288,55,Ch2,257,Path_C,0,9.63,44.05,252.29,-0.077
378,20,97.83,9,19.9,30,1,87,80,Ch7,242,Path_C,1,10.89,36.89,117.94,0.031
379,18,43.66,4,15.85,30,4,218,59,Ch4,194,Path_D,1,5.6,43.48,202.71,-0.147
380,16,87.72,3,9.11,20,1,184,46,Ch2,79,Path_A,0,3.76,51.48,167.83,-0.213
381,27,79.33,12,7.91,50,1,127,20,Ch7,75,Path_C,1,7.96,34.13,102.92,-0.017
382,19,58.87,8,18.67,10,8,284,53,Ch1,230,Path_A,0,9.11,44.97,255.39,-0.094
383,32,75.15,11,27.56,10,7,230,87,Ch4,174,Path_A,1,16.51,38.13,228.24,0.112
384,38,88.46,10,13.6,50,1,112,40,Ch9,287,Path_B,1,9.13,40.62,102.02,-0.02
385,6,43.39,14,23.33,10,2,161,52,Ch4,68,Path_D,1,19.41,26.73,157.07,0.254
386,36,36.07,9,21.47,50,4,138,26,Ch3,102,Path_C,1,13.28,41.21,120.91,0.063
387,27,68.42,12,28.29,10,1,209,84,Ch10,134,Path_A,1,15.22,36.06,222.65,0.095
388,26,81.75,11,25.52,20,3,87,22,Ch10,66,Path_D,0,20.59,41.62,77.75,0.239
389,29,77.42,5,19.17,10,8,199,70,Ch2,223,Path_D,0,6.96,50.31,192.02,-0.145
390,26,80.79,9,21.43,30,8,193,98,Ch3,153,Path_C,0,13.01,45.09,199.03,0.012
391,26,46.38,2,27.46,50,8,101,73,Ch1,262,Path_B,1,6.35,50.62,123.69,-0.136
392,46,82.69,3,14.99,5,6,78,99,Ch10,230,Path_B,0,1.0,61.04,110.04,-0.299
393,10,16.42,7,13.17,5,6,193,93,Ch8,154,Path_A,0,10.64,43.95,197.28,-0.035
394,19,56.73,7,5.27,50,5,125,78,Ch1,153,Path_B,1,4.26,40.94,142.53,-0.144
395,47,5.55,6,25.66,20,9,194,25,Ch3,241,Path_B,1,7.1,48.41,160.8,-0.122
396,41,35.84,6,25.02,10,4,278,48,Ch3,222,Path_B,1,7.22,51.97,249.53,-0.166
397,37,39.81,2,7.61,20,7,113,36,Ch2,226,Path_D,0,1.0,55.99,117.31,-0.278
398,12,42.64,10,19.42,5,1,140,79,Ch5,196,Path_C,0,15.37,40.02,154.33,0.103
399,48,71.07,6,16.6,50,9,138,41,Ch10,173,Path_D,1,6.58,51.05,134.09,-0.137
400,48,41.91,4,7.97,50,7,62,43,Ch3,248,Path_D,0,1.0,56.64,75.45,-0.267
401,9,47.63,12,29.51,20,9,121,70,Ch3,130,Path_C,0,21.69,34.51,140.35,0.275
402,43,27.57,3,10.37,20,7,233,69,Ch8,242,Path_D,1,1.0,53.28,226.95,-0.303
403,8,40.46,13,6.68,10,2,54,30,Ch4,86,Path_A,0,8.89,34.86,60.4,0.015
404,10,26.59,11,19.87,30,6,61,75,Ch4,170,Path_A,1,14.31,30.43,90.82,0.146
405,49,11.95,13,23.47,30,4,218,90,Ch3,119,Path_D,0,14.53,44.81,214.97,0.042
406,36,62.33,2,5.81,10,3,52,61,Ch1,203,Path_B,1,1.0,49.3,75.98,-0.233
407,34,68.48,1,21.47,30,2,276,58,Ch8,179,Path_D,0,1.1,61.3,244.77,-0.344
408,39,63.85,11,18.31,5,6,82,88,Ch1,108,Path_B,0,13.89,43.59,107.76,0.07
409,44,49.03,11,7.58,30,8,170,67,Ch7,273,Path_D,1,1.0,42.19,154.09,-0.227
410,20,41.08,5,9.31,10,6,263,76,Ch5,298,Path_A,1,5.02,43.35,250.41,-0.175
411,17,87.02,2,19.2,30,9,99,40,Ch4,289,Path_B,1,7.94,46.95,95.98,-0.074
412,46,54.31,2,12.41,50,5,233,39,Ch4,167,Path_A,1,1.0,57.01,211.46,-0.315
413,34,50.52,7,28.46,20,2,285,34,Ch8,182,Path_D,0,12.5,52.21,246.95,-0.049
414,23,7.44,8,25.47,5,8,186,88,Ch6,86,Path_C,1,15.43,40.28,198.42,0.089
415,21,37.42,13,29.59,50,9,282,96,Ch1,80,Path_B,1,21.7,32.78,268.18,0.239
416,23,41.12,10,11.49,50,4,259,70,Ch10,253,Path_B,1,10.95,37.39,247.39,-0.015
417,32,42.89,8,29.24,10,6,227,95,Ch8,148,Path_D,1,13.85,44.13,239.63,0.021
418,30,60.12,14,15.78,20,8,78,81,Ch2,143,Path_D,1,14.52,32.31,106.72,0.137
419,41,55.69,4,13.69,20,9,88,56,Ch6,225,Path_B,0,1.0,57.91,102.35,-0.282
420,30,62.75,15,6.26,5,5,140,25,Ch9,55,Path_C,1,6.31,33.17,125.35,-0.057
421,27,77.66,14,6.32,10,6,149,90,Ch1,64,Path_D,1,6.36,33.72,161.58,-0.07
422,13,82.23,1,22.3,5,4,222,45,Ch6,192,Path_D,1,6.43,46.41,203.91,-0.142
423,16,73.22,11,16.45,30,5,66,27,Ch8,238,Path_D,0,15.84,38.05,58.77,0.156
424,5,95.77,7,10.66,50,7,105,92,Ch10,65,Path_C,0,6.9,41.36,127.91,-0.082
425,5,6.73,1,20.35,5,9,275,23,Ch2,69,Path_B,0,10.52,47.94,222.64,-0.065
426,38,23.6,11,11.32,50,6,95,40,Ch5,126,Path_A,1,6.33,42.29,92.48,-0.087
427,36,5.72,4,19.44,10,6,116,50,Ch6,93,Path_D,1,5.51,49.78,121.01,-0.15
428,29,66.51,8,13.98,30,8,246,40,Ch5,219,Path_C,0,10.32,47.13,219.33,-0.064
429,44,90.31,2,25.59,10,4,191,44,Ch3,95,Path_B,0,4.72,59.33,175.05,-0.231
430,49,28.13,6,25.52,30,3,116,34,Ch4,144,Path_B,1,8.98,48.71,110.65,-0.064
431,5,93.07,13,16.93,30,7,72,54,Ch7,211,Path_C,1,17.94,26.09,75.17,0.253
432,20,10.73,6,13.77,50,5,280,68,Ch4,113,Path_D,1,7.38,42.33,256.14,-0.12
433,43,93.77,12,14.06,10,2,143,62,Ch9,206,Path_A,0,12.63,45.91,141.99,0.019
434,9,38.4,9,25.14,10,2,291,60,Ch10,180,Path_D,1,15.09,34.44,259.5,0.087
435,26,14.63,5,13.2,5,6,286,56,Ch2,58,Path_B,1,7.98,45.82,259.8,-0.124
436,33,51.16,10,10.23,10,8,238,76,Ch5,252,Path_A,0,7.83,44.39,224.1,-0.109
437,7,29.39,4,7.12,5,1,200,61,Ch8,252,Path_D,0,4.4,46.84,187.48,-0.184
438,16,32.06,5,16.67,20,6,204,66,Ch5,202,Path_A,0,12.39,49.52,185.76,-0.018
439,30,34.19,12,17.05,20,2,103,80,Ch10,263,Path_C,1,8.43,37.06,120.93,-0.026
440,20,81.29,12,26.02,20,2,187,33,Ch8,91,Path_D,0,17.57,39.21,160.66,0.154
441,41,56.22,10,10.53,10,7,266,87,Ch8,299,Path_B,0,2.65,47.74,256.7,-0.251
442,26,34.57,15,14.52,10,1,126,72,Ch9,223,Path_B,1,14.88,28.05,132.04,0.156
443,33,62.98,11,25.21,5,6,65,53,Ch10,122,Path_A,1,12.58,36.83,79.02,0.082
444,18,73.03,5,25.59,30,7,90,95,Ch6,133,Path_C,0,14.06,48.58,118.78,0.047
445,32,30.9,8,14.62,5,8,147,43,Ch4,108,Path_D,1,6.94,42.58,147.46,-0.094
446,9,44.29,10,16.48,20,7,232,39,Ch3,70,Path_C,0,13.48,38.36,207.59,0.051
447,34,16.58,12,12.58,5,6,177,88,Ch5,251,Path_C,1,9.87,39.71,176.4,-0.025
448,9,22.21,8,28.31,30,9,278,49,Ch6,199,Path_A,1,18.22,36.79,240.58,0.152
449,16,69.71,2,7.97,10,3,110,26,Ch3,206,Path_A,0,1.0,53.69,101.28,-0.262
450,20,22.24,7,28.34,5,6,135,55,Ch2,112,Path_D,0,21.37,45.64,130.85,0.219
451,30,54.89,8,22.1,20,4,258,57,Ch7,122,Path_B,0,10.48,45.79,220.06,-0.055
452,30,72.36,11,18.29,20,2,264,99,Ch5,110,Path_D,1,7.51,37.41,267.45,-0.098
453,25,15.15,6,5.82,10,1,167,71,Ch9,113,Path_C,0,1.03,47.29,172.7,-0.256
454,43,58.89,5,16.89,5,1,149,34,Ch3,118,Path_A,1,1.31,52.74,138.8,-0.264
455,40,29.37,11,15.19,30,3,98,65,Ch8,217,Path_C,1,10.05,41.69,107.86,-0.007
456,37,96.48,9,9.03,10,4,250,42,Ch6,252,Path_A,0,4.96,48.38,223.14,-0.191
457,34,50.94,13,21.41,5,2,229,31,Ch4,178,Path_B,1,15.1,37.55,195.18,0.095
458,41,81.57,3,29.28,50,1,51,63,Ch9,294,Path_C,1,8.1,49.77,73.32,-0.076
459,27,57.27,12,19.05,20,4,273,34,Ch5,155,Path_A,0,13.17,40.98,230.8,0.024
460,14,9.12,13,22.87,30,7,169,68,Ch10,114,Path_D,1,18.29,27.73,176.78,0.218
461,9,65.15,13,6.71,30,6,227,40,Ch6,171,Path_D,1,11.79,28.19,193.75,0.065
462,40,95.38,10,15.44,30,6,294,34,Ch9,111,Path_D,0,9.39,46.53,258.36,-0.096
463,38,62.15,4,7.91,20,9,172,33,Ch7,231,Path_C,0,1.0,56.39,154.29,-0.293
464,35,82.82,9,20.32,5,2,135,61,Ch5,152,Path_A,1,11.36,42.34,136.05,0.01
465,14,89.0,6,28.46,10,4,220,99,Ch2,109,Path_A,1,17.23,42.22,226.34,0.11
466,23,26.67,8,21.54,5,5,126,34,Ch4,95,Path_A,1,14.34,39.0,121.47,0.097
467,36,25.14,7,6.92,10,1,185,82,Ch2,54,Path_C,1,2.44,46.36,195.83,-0.228
468,5,63.04,11,13.87,30,8,108,87,Ch3,162,Path_A,0,15.45,35.24,131.47,0.135
469,9,44.05,2,18.77,5,8,242,46,Ch10,199,Path_B,1,11.56,42.25,212.15,-0.011
470,49,84.79,3,15.08,30,6,258,72,Ch3,267,Path_C,1,1.0,53.82,242.68,-0.311
471,8,90.5,1,25.84,50,5,61,71,Ch4,230,Path_B,1,10.41,45.68,93.38,-0.013
472,20,38.58,9,25.37,30,8,53,82,Ch6,119,Path_B,1,13.51,39.17,90.14,0.088
473,28,27.5,13,20.3,30,3,166,92,Ch3,209,Path_D,0,15.32,39.6,183.34,0.094
474,20,79.15,7,14.34,10,3,254,72,Ch10,289,Path_C,1,5.06,38.75,243.18,-0.151
475,6,31.11,1,11.38,50,2,144,76,Ch1,60,Path_A,0,6.21,50.09,156.7,-0.148
476,32,83.15,3,7.65,30,5,174,71,Ch1,187,Path_B,0,1.0,58.13,180.49,-0.31
477,36,45.26,4,13.87,30,3,90,62,Ch9,288,Path_C,0,5.2,54.97,100.72,-0.174
478,31,68.42,4,15.33,50,3,172,26,Ch9,216,Path_A,0,3.32,52.81,143.82,-0.221
479,24,14.08,5,21.9,50,6,56,61,Ch5,296,Path_D,0,9.74,50.44,75.65,-0.043
480,28,64.27,14,21.45,5,8,264,23,Ch9,147,Path_C,1,18.57,33.55,218.61,0.183
481,16,47.92,3,6.75,10,2,265,88,Ch7,80,Path_C,0,5.34,49.62,250.72,-0.198
482,39,60.73,3,14.88,50,4,118,24,Ch9,61,Path_C,0,1.0,57.95,102.8,-0.283
483,37,20.96,1,9.54,50,7,118,94,Ch7,292,Path_A,0,1.0,59.11,153.83,-0.305
484,37,75.0,7,8.92,20,1,130,99,Ch9,157,Path_B,1,3.25,46.68,154.18,-0.198
485,47,86.97,11,25.68,50,1,79,60,Ch2,129,Path_B,0,12.99,47.85,95.01,0.034
486,41,25.59,10,6.05,10,7,122,23,Ch8,215,Path_C,1,2.3,43.02,102.99,-0.184
487,16,14.09,14,15.48,30,7,55,21,Ch7,116,Path_C,0,18.3,32.66,45.28,0.24
488,7,7.25,1,9.21,30,1,138,86,Ch6,243,Path_A,0,1.0,49.37,149.3,-0.258
489,5,65.99,2,26.98,30,1,196,40,Ch5,101,Path_D,1,13.25,44.92,183.99,0.023
490,37,62.67,13,18.93,30,4,257,89,Ch4,182,Path_C,1,13.36,36.48,251.77,0.042
491,44,56.94,4,10.78,20,5,262,62,Ch7,188,Path_C,1,1.0,52.63,243.59,-0.306
492,14,27.03,13,17.56,50,5,115,88,Ch3,299,Path_D,0,19.09,34.24,139.69,0.218
493,47,42.14,4,23.29,30,4,59,28,Ch8,74,Path_C,1,7.84,54.45,58.24,-0.099
494,48,61.48,5,28.95,5,8,193,47,Ch2,84,Path_B,1,8.3,50.99,184.84,-0.115
495,33,52.19,11,10.51,30,7,86,45,Ch1,212,Path_C,1,10.05,38.2,88.14,0.016
496,17,98.84,2,27.15,50,9,256,22,Ch2,71,Path_B,1,10.35,48.28,222.83,-0.07
497,16,17.96,4,28.36,30,7,126,92,Ch9,214,Path_A,1,16.04,45.56,149.01,0.094
498,35,71.04,1,27.91,20,1,126,68,Ch5,263,Path_A,0,11.38,58.21,125.85,-0.06
499,6,43.41,2,20.89,10,7,81,36,Ch8,232,Path_B,1,13.27,46.74,79.06,0.051
500,39,45.68,1,20.75,10,1,286,82,Ch3,252,Path_B,0,3.59,60.67,260.88,-0.292
501,27,73.17,10,15.08,50,7,96,74,Ch7,145,Path_D,1,9.48,36.54,119.62,0.0
502,21,70.78,10,23.81,10,8,159,42,Ch2,276,Path_B,1,12.65,36.85,148.08,0.06
503,30,99.17,13,18.28,10,9,249,53,Ch8,272,Path_B,0,14.16,38.93,214.56,0.061
504,12,17.2,4,21.94,5,3,220,88,Ch7,286,Path_C,0,9.54,48.25,221.88,-0.088
505,33,14.89,4,15.71,50,4,259,34,Ch5,166,Path_D,0,2.87,53.84,221.51,-0.262
506,30,73.81,7,23.29,50,4,169,66,Ch4,249,Path_B,0,8.86,48.61,160.78,-0.084
507,14,59.95,10,25.61,10,9,213,22,Ch1,241,Path_B,1,17.08,32.83,189.79,0.163
508,30,31.05,11,8.66,10,7,203,47,Ch5,69,Path_B,0,7.07,43.99,186.44,-0.111
509,38,12.54,11,25.82,10,3,59,22,Ch9,155,Path_C,1,14.66,38.17,56.73,0.13
510,45,13.14,9,18.51,20,5,208,23,Ch10,275,Path_C,1,6.25,43.34,175.9,-0.122
511,11,89.95,9,26.12,30,7,146,50,Ch4,53,Path_C,1,20.2,35.35,134.23,0.24
512,8,23.23,5,15.78,20,8,206,64,Ch9,67,Path_A,0,9.87,47.3,190.28,-0.065
513,49,35.72,10,14.48,50,1,54,78,Ch2,100,Path_C,0,3.86,49.17,88.62,-0.173
514,15,26.53,1,27.88,5,2,126,64,Ch4,245,Path_B,0,12.19,54.05,130.43,-0.024
515,33,38.72,1,11.28,30,7,50,94,Ch9,69,Path_C,1,3.77,55.01,87.11,-0.202
516,40,11.6,6,26.11,5,2,264,56,Ch4,171,Path_C,0,10.53,54.22,228.98,-0.096
517,29,54.31,2,17.1,50,7,281,84,Ch5,186,Path_D,0,3.62,55.23,260.21,-0.265
518,25,11.42,8,17.85,50,9,180,28,Ch8,129,Path_B,1,7.27,38.86,161.05,-0.074
519,40,81.03,13,12.71,5,2,116,36,Ch1,203,Path_C,0,8.32,39.19,112.69,-0.036
520,14,27.2,9,19.33,5,7,248,84,Ch1,151,Path_A,1,14.53,35.31,249.17,0.074
521,41,56.3,13,13.13,5,4,277,22,Ch9,74,Path_D,0,7.99,44.57,239.31,-0.111
522,13,88.61,4,5.98,50,2,212,45,Ch9,245,Path_C,0,1.0,46.21,190.95,-0.258
523,28,66.83,5,11.8,10,7,64,72,Ch4,218,Path_D,0,2.6,51.95,89.56,-0.214
524,39,55.63,11,5.16,5,5,281,50,Ch2,108,Path_D,0,6.49,43.77,248.22,-0.144
